program,bp_family,bp_level,width,pipe_scale,branch_misp,branch_lookups,MR,IPC,PLR,BSF,num_cycles,commit_inst,bp
test_high_branch,bimode,0,4,1,499334,2037214,0.245106307,2.128076,0.467981,1.909298075,23082346,49120995,21.63300967
test_high_branch,bimode,1,4,1,500762,2038244,0.245683049,2.126416,0.468396,1.906505159,23100369,49120995,21.60731096
test_high_branch,bimode,2,4,1,501697,2036612,0.246339018,2.125265,0.46868375,1.902596486,23112880,49120995,21.59197932
test_high_branch,bimode,3,4,1,500201,2036880,0.24557215,2.126396,0.468401,1.907386488,23100587,49120995,21.63198044
test_high_branch,bimode,4,4,1,502330,2036846,0.246621492,2.124158,0.4689605,1.901539463,23124926,49120995,21.58875092
test_high_branch,bimode,5,4,1,503994,2037072,0.24741099,2.122482,0.4693795,1.897165119,23143191,49120995,21.55371344
test_high_branch,bimode,6,4,1,506971,2037698,0.248795945,2.11961,0.4700975,1.889490199,23174542,49120995,21.48898704
test_high_branch,bimode,7,4,1,506971,2037698,0.248795945,2.11961,0.4700975,1.889490199,23174542,49120995,21.48898704
test_low_branch,bimode,0,4,1,1738,1553347,0.001118874,2.827108,0.293223,262.069659,13660935,38620934,2304.776467
test_low_branch,bimode,1,4,1,1835,1553716,0.00118104,2.827125,0.29321875,248.2717512,13660849,38620934,2182.89673
test_low_branch,bimode,2,4,1,891,1536042,0.000580062,2.836488,0.290878,501.4599606,13615757,38620934,4445.031987
test_low_branch,bimode,3,4,1,945,1536278,0.000615123,2.836478,0.2908805,472.8818125,13615806,38620934,4191.082011
test_low_branch,bimode,4,4,1,1004,1536423,0.000653466,2.836361,0.29090975,445.179712,13616368,38620934,3945.353088
test_low_branch,bimode,5,4,1,1036,1536570,0.000674229,2.836358,0.2909105,431.4713774,13616380,38620934,3823.500483
test_low_branch,bimode,6,4,1,1069,1536672,0.000695659,2.836269,0.29093275,418.2116097,13616810,38620934,3705.871375
test_low_branch,bimode,7,4,1,1069,1536672,0.000695659,2.836269,0.29093275,418.2116097,13616810,38620934,3705.871375
test_high_branch,local,0,4,1,501652,2045002,0.245306362,2.171337,0.45716575,1.863652239,22622468,49120995,20.61632217
test_high_branch,local,1,4,1,501487,2044994,0.245226636,2.124525,0.46886875,1.911981329,23120932,49120995,21.61707731
test_high_branch,local,2,4,1,502367,2045715,0.245570375,2.124166,0.4689585,1.909670496,23124838,49120995,21.58698571
test_high_branch,local,3,4,1,501457,2041335,0.245651498,2.124584,0.468854,1.908614458,23120288,49120995,21.61708631
test_high_branch,local,4,4,1,501498,2041494,0.245652449,2.124592,0.468852,1.908598927,23120197,49120995,21.61513755
test_high_branch,local,5,4,1,501505,2041526,0.245652027,2.1246,0.46885,1.908594062,23120114,49120995,21.61467034
test_high_branch,local,6,4,1,501507,2041522,0.245653488,2.124589,0.46885275,1.908593906,23120238,49120995,21.6148314
test_high_branch,local,7,4,1,501507,2041522,0.245653488,2.124589,0.46885275,1.908593906,23120238,49120995,21.6148314
test_low_branch,local,0,4,1,1620,1544952,0.001048576,2.834955,0.29126125,277.7683029,13623123,38620934,2449.314506
test_low_branch,local,1,4,1,1602,1544747,0.001037063,2.835061,0.29123475,280.8264709,13622609,38620934,2476.514045
test_low_branch,local,2,4,1,2490,1544407,0.001612269,2.834237,0.29144075,180.764311,13626572,38620934,1594.91506
test_low_branch,local,3,4,1,1553,1540514,0.001008105,2.835378,0.2911555,288.8146323,13621090,38620934,2553.674501
test_low_branch,local,4,4,1,1600,1540675,0.001038506,2.835303,0.29117425,280.3780548,13621450,38620934,2478.885313
test_low_branch,local,5,4,1,1607,1540739,0.001043006,2.835298,0.2911755,279.1695387,13621474,38620934,2468.102365
test_low_branch,local,6,4,1,1606,1540732,0.001042362,2.8353,0.291175,279.341619,13621465,38620934,2469.633562
test_low_branch,local,7,4,1,1606,1540732,0.001042362,2.8353,0.291175,279.341619,13621465,38620934,2469.633562
test_high_branch,tournament,0,4,1,501205,2040411,0.245639236,2.124841,0.46878975,1.908448165,23117491,49120995,21.62237458
test_high_branch,tournament,1,4,1,501774,2039133,0.246072228,2.124332,0.468917,1.905607164,23123029,49120995,21.60889215
test_high_branch,tournament,2,4,1,504670,2036516,0.247810476,2.121431,0.46964225,1.895167053,23154655,49120995,21.54755831
test_high_branch,tournament,3,4,1,506517,2036324,0.248740868,2.119716,0.470071,1.889802038,23173380,49120995,21.5059539
test_high_branch,tournament,4,4,1,511629,2035621,0.251338044,2.115173,0.47120675,1.874792781,23223152,49120995,21.38835611
test_high_branch,tournament,5,4,1,515937,2035699,0.25344464,2.111427,0.47214325,1.862904854,23264356,49120995,21.28962887
test_high_branch,tournament,6,4,1,533656,2035028,0.262235212,2.095798,0.4760505,1.815356891,23437844,49120995,20.90784185
test_high_branch,tournament,7,4,1,538107,2035300,0.264387068,2.092608,0.476848,1.803598047,23473573,49120995,20.80129835
test_low_branch,tournament,0,4,1,738,1535750,0.000480547,2.836583,0.29085425,605.2566591,13615300,38620934,5365.943767
test_low_branch,tournament,1,4,1,666,1534897,0.000433905,2.836939,0.29076525,670.1121771,13613595,38620934,5943.485736
test_low_branch,tournament,2,4,1,646,1534867,0.000420883,2.836956,0.290761,690.8350833,13613510,38620934,6127.363003
test_low_branch,tournament,3,4,1,619,1534863,0.000403293,2.836936,0.290766,720.9789581,13613608,38620934,6394.789176
test_low_branch,tournament,4,4,1,635,1534845,0.000413723,2.83697,0.2907575,702.7837718,13613445,38620934,6233.403937
test_low_branch,tournament,5,4,1,632,1534818,0.000411775,2.837054,0.2907365,706.0563504,13613043,38620934,6262.356804
test_low_branch,tournament,6,4,1,641,1534872,0.000417624,2.837051,0.29073725,696.1692112,13613058,38620934,6174.453198
test_low_branch,tournament,7,4,1,639,1534766,0.00041635,2.836995,0.29075125,698.3335414,13613326,38620934,6194.197966
