program,bp_family,bp_level,width,pipe_scale,branch_misp,branch_lookups,MR,IPC,PLR,BSF,num_cycles,commit_inst,bp
br_dense_random,bimode,1,4,1,503248,2039097,0.246799441,0.208707,0.94782325,3.840459467,235362188,49121741,443.2839331
br_dense_random,bimode,3,4,1,502029,2037403,0.246406332,0.208757,0.94781075,3.846535689,235305737,49121741,444.2478457
br_dense_random,bimode,5,4,1,503898,2036601,0.247421071,0.208856,0.947786,3.830660005,235193915,49121741,442.3781792
br_dense_random,bimode,7,4,1,507100,2036583,0.248995499,0.208742,0.9478145,3.806552747,235322263,49121741,439.8379565
br_sparse_random,bimode,1,4,1,101559,436682,0.232569696,0.272239,0.93194025,4.007143948,201006350,54721726,1844.503377
br_sparse_random,bimode,3,4,1,101445,436533,0.232387929,0.27222,0.931945,4.010298651,201020380,54721726,1846.714461
br_sparse_random,bimode,5,4,1,102104,436464,0.233934528,0.272246,0.9319385,3.983757791,201001033,54721726,1834.605907
br_sparse_random,bimode,7,4,1,103092,436566,0.236142989,0.272209,0.93194775,3.946539998,201028191,54721726,1817.287079
br_dense_alternating,bimode,1,4,1,802,2036088,0.000393893,0.206265,0.94843375,2407.8486,189667845,39121859,224298.4791
br_dense_alternating,bimode,3,4,1,871,2036092,0.00042778,0.206262,0.9484345,2217.106657,189670659,39121859,206532.944
br_dense_alternating,bimode,5,4,1,1013,2036257,0.000497481,0.206255,0.94843625,1906.475768,189677371,39121859,177588.2589
br_dense_alternating,bimode,7,4,1,1017,2036166,0.000499468,0.206254,0.9484365,1898.892974,189678172,39121859,176890.5676
br_sparse_alternating,bimode,1,4,1,741,436082,0.001699222,0.273265,0.93168375,548.3002875,192933049,52721920,242581.0648
br_sparse_alternating,bimode,3,4,1,862,436170,0.001976294,0.273256,0.931686,471.4309543,192939449,52721920,208537.087
br_sparse_alternating,bimode,5,4,1,953,436268,0.002184437,0.273248,0.931688,426.5117108,192945040,52721920,188630.1784
br_sparse_alternating,bimode,7,4,1,1001,436243,0.002294593,0.273246,0.9316885,406.0365498,192946883,52721920,179586.8162
