program,bp_family,bp_level,width,pipe_scale,branch_misp,branch_lookups,MR,IPC,PLR,BSF,num_cycles,commit_inst,BP
test_high_branch,tournament,4,4,1,511629,2035621,0.251338044,2.115173,0.47120675,1.874792781,23223152,49120995,21.38835611
test_high_branch,tournament,4,4,2,511633,2035857,0.251310873,2.115349,0.47116275,1.874820394,23221225,49120995,21.38442253
test_high_branch,tournament,4,4,3,511634,2035886,0.251307784,2.115349,0.47116275,1.874843436,23221225,49120995,21.38438073
test_high_branch,tournament,4,6,1,511674,2036223,0.251285837,2.522293,0.579617833,2.306607651,19474738,49120995,22.06073691
test_high_branch,tournament,4,6,2,511675,2036521,0.251249557,2.522561,0.579573167,2.306762935,19472667,49120995,22.05664631
test_high_branch,tournament,4,6,3,511674,2036592,0.251240307,2.522561,0.579573167,2.306847865,19472667,49120995,22.05668942
test_high_branch,tournament,4,8,1,511712,2292338,0.223227116,2.81125,0.64859375,2.905532995,17473009,49120995,22.14699797
test_high_branch,tournament,4,8,2,511708,2292617,0.223198205,2.811623,0.648547125,2.905700446,17470688,49120995,22.1426353
test_high_branch,tournament,4,8,3,511710,2292670,0.223193918,2.811623,0.648547125,2.905756262,17470688,49120995,22.14254876
test_high_branch,local,4,4,1,501498,2041494,0.245652449,2.124592,0.468852,1.908598927,23120197,49120995,21.61513755
test_high_branch,local,4,4,2,501521,2042363,0.245559188,2.124703,0.46882425,1.909210784,23118993,49120995,21.61174557
test_high_branch,local,4,4,3,501521,2042396,0.24555522,2.124703,0.46882425,1.909241633,23118993,49120995,21.61174557
test_high_branch,local,4,6,1,501512,2042896,0.245490715,2.536519,0.577246833,2.35139986,19365511,49120995,22.28995218
test_high_branch,local,4,6,2,501531,2044680,0.245285815,2.536573,0.577237833,2.353327418,19365103,49120995,22.28829424
test_high_branch,local,4,6,3,501531,2044729,0.245279937,2.536645,0.577225833,2.35333489,19364550,49120995,22.28719162
test_high_branch,local,4,8,1,501544,2292956,0.218732501,2.829076,0.6463655,2.955050108,17362911,49120995,22.3764747
test_high_branch,local,4,8,2,501570,2295316,0.218518932,2.829078,0.64636525,2.957937078,17362898,49120995,22.37528884
test_high_branch,local,4,8,3,501572,2295408,0.218511045,2.829077,0.646365375,2.958044414,17362908,49120995,22.37521956
test_high_branch,bimode,4,4,1,502330,2036846,0.246621492,2.124158,0.4689605,1.901539463,23124926,49120995,21.58875092
test_high_branch,bimode,4,4,2,502360,2037189,0.246594695,2.124312,0.468922,1.901589976,23123253,49120995,21.5841314
test_high_branch,bimode,4,4,3,502360,2037210,0.246592153,2.124312,0.468922,1.901609578,23123253,49120995,21.5841314
test_high_branch,bimode,4,6,1,502398,2037740,0.246546664,2.535391,0.577434833,2.342091444,19374130,49120995,22.26779864
test_high_branch,bimode,4,6,2,502433,2038511,0.246470586,2.535618,0.577397,2.342660884,19372399,49120995,22.2628022
test_high_branch,bimode,4,6,3,502435,2038563,0.24646528,2.535618,0.577397,2.342711317,19372399,49120995,22.26271358
test_high_branch,bimode,4,8,1,502453,2286668,0.219731505,2.827488,0.646564,2.942518422,17372662,49120995,22.35539966
test_high_branch,bimode,4,8,2,502479,2287342,0.219678124,2.827786,0.64652675,2.943063868,17370830,49120995,22.35059699
test_high_branch,bimode,4,8,3,502482,2287402,0.219673673,2.827786,0.64652675,2.943123497,17370830,49120995,22.35046355
test_low_branch,tournament,4,4,1,635,1534845,0.000413723,2.83697,0.2907575,702.7837718,13613445,38620934,6233.403937
test_low_branch,tournament,4,4,2,638,1535071,0.000415616,2.837389,0.29065275,699.3301059,13611432,38620934,6200.938088
test_low_branch,tournament,4,4,3,641,1535119,0.000417557,2.837389,0.29065275,696.0788751,13611432,38620934,6171.916537
test_low_branch,tournament,4,6,1,678,1535522,0.000441544,3.81993,0.363345,822.8971108,10110378,38620934,5418.223697
test_low_branch,tournament,4,6,2,676,1535852,0.000440147,3.820846,0.363192333,825.162236,10107954,38620934,5430.668146
test_low_branch,tournament,4,6,3,680,1535917,0.000442732,3.820846,0.363192333,820.3430574,10107954,38620934,5398.723039
test_low_branch,tournament,4,8,1,693,1536238,0.000451102,4.239961,0.470004875,1041.903823,9108794,38620934,6177.744949
test_low_branch,tournament,4,8,2,686,1536374,0.000446506,4.241091,0.469863625,1052.312328,9106367,38620934,6237.245262
test_low_branch,tournament,4,8,3,688,1536441,0.000447788,4.24112,0.46986,1049.290942,9106305,38620934,6219.023619
test_low_branch,local,4,4,1,1600,1540675,0.001038506,2.835303,0.29117425,280.3780548,13621450,38620934,2478.885313
test_low_branch,local,4,4,2,1629,1542096,0.001056354,2.835595,0.29110125,275.5715612,13620044,38620934,2433.892265
